keys,es
MENU_TITLE,"¡APAGA LA LUZ
QUE TE PILLO!"
MENU_STORY,HISTORIA
MENU_STORY_TEXT,Veinte noches de aventura
MENU_GENERATIVE,GENERATIVO
MENU_GENERATIVE_TEXT,Un museo nuevo cada vez
MENU_SETTINGS,SETTINGS
MENU_QUIT,SALIR
MENU_BACK,< VOLVER
MENU_PREV,< ATRÁS
MENU_NEXT,SIGUIENTE >
MENU_SKIP,SALTAR ▶▶ (TAB)
MENU_PREVIOUS,< ANTERIOR
MENU_STORY_TITLE,MODO HISTORIA
MENU_STORY_TAGLINE,La Banda del Calcetín contra el Barón Von Bostezo
MENU_NIGHT_PIECE,NOCHE %d · %s
MENU_PLAYERS_1,1 LADRÓN
MENU_PLAYERS_1_TEXT,Tú solo contra el museo
MENU_PLAYERS_2,2 LADRONES
MENU_PLAYERS_2_TEXT,"Uno sujeta la alarma, otro abre"
MENU_PLAYERS_3,3 LADRONES
MENU_PLAYERS_3_TEXT,Alarma y dos cerraduras
MENU_GENERATIVE_TITLE,MODO GENERATIVO
MENU_DIFFICULTY_EASY,FÁCIL
MENU_DIFFICULTY_MEDIUM,MEDIA
MENU_DIFFICULTY_HARD,DIFÍCIL
MENU_SIZE_SMALL,CHICO
MENU_SIZE_MEDIUM,MEDIANO
MENU_SIZE_LARGE,GRANDE
MENU_PLAY_1,▶ 1 LADRÓN
MENU_PLAY_2,▶ 2 LADRONES
MENU_PLAY_3,▶ 3 LADRONES
MENU_PAUSE,PAUSA
MENU_RESUME,▶ SEGUIR
MENU_TO_MENU,< MENÚ
JOIN_TITLE,¿QUIÉN JUEGA?
JOIN_PLAYER,JUGADOR %d
JOIN_PRESS,Pulsa un botón
JOIN_HOW,"Cada uno pulsa un botón de su mando, o una tecla de su parte del teclado (WASD, IJKL, flechas o teclado numérico)"
JOIN_READY,¡LISTOS!
JOIN_UNDO,Esc o B: quitar al último · volver
SEAT_KB_LEFT,Teclado · WASD
SEAT_KB_RIGHT,Teclado · flechas
SEAT_KB_MID,Teclado · IJKL
SEAT_ANY,Teclado y mandos
SEAT_PAD,Mando %d · %s
SETTINGS_TITLE,SETTINGS
SETTINGS_SOUND_TITLE,SONIDO
SETTINGS_SCREEN_TITLE,PANTALLA
SETTINGS_PADS_TITLE,CONTROLES
SETTINGS_SOUND_PAGE,SONIDO >
SETTINGS_SCREEN_PAGE,PANTALLA >
SETTINGS_PADS_PAGE,CONTROLES >
SETTINGS_ASSETS_PAGE,ASSETS >
SETTINGS_YES,SÍ
SETTINGS_NO,NO
SETTINGS_SOUND,SONIDO: %s  (N)
SETTINGS_MUSIC,MÚSICA: %s
SETTINGS_MUSIC_VOLUME,VOL. MÚSICA %s
SETTINGS_EFFECTS_VOLUME,VOL. EFECTOS %s
SETTINGS_FULLSCREEN,PANTALLA COMPLETA: %s
SETTINGS_VSYNC,V-SYNC: %s
SETTINGS_WINDOW,VENTANA: %d×%d
SETTINGS_WINDOW_AUTO,VENTANA: AUTO %d×%d
SETTINGS_UI_SCALE,TAMAÑO INTERFAZ: %d%%
SETTINGS_IA,PANEL IA: %s
SETTINGS_RUMBLE,VIBRACIÓN: %s
SETTINGS_RUMBLE_STRENGTH,FUERZA %s
SETTINGS_DEADZONE,ZONA MUERTA STICK: %d%%
SETTINGS_SOUND_HELP,← y → para bajar y subir el volumen · N silencia todo
SETTINGS_PADS_LIST,Mandos: %s
SETTINGS_NO_PADS,No hay mandos conectados
SETTINGS_KEYS_HELP,Teclado: P1 WASD y C (a gatas) · P2 flechas y - o /
SETTINGS_PAD_HELP,"Mando: stick o cruceta, A o B a gatas, Start pausa"
ASSETS_TITLE,ASSETS
ASSETS_TAB_LOOT,PIEZAS
ASSETS_TAB_PEOPLE,PERSONAJES
ASSETS_TAB_PROPS,OBJETOS
ASSETS_TAB_SOUNDS,SONIDOS
ASSETS_TAB_MAP,MAPA
ASSETS_FALL_METAL,Al caer: sonido metálico
ASSETS_FALL_DRY,Al caer: sonido seco
ASSETS_PEOPLE_THIEF,LADRÓN
ASSETS_PEOPLE_TWO,DOS LADRONES
ASSETS_PEOPLE_SLEEPY,GUARDIA DORMIDO
ASSETS_PEOPLE_THREE,TRES GUARDIAS
ASSETS_LISTEN,▶ ESCUCHAR
ASSETS_MAP_TEXT,Las marcas del mapa y del plan
ASSETS_MAP_MARKS,Sobre los guardias: ! algo raro · !! alerta · !!! va a por ti
PROLOGUE_TITLE,HABÍA UNA VEZ...
PROLOGUE_GO,▶ ¡VAMOS!
ENDING_TITLE,"¡OPERACIÓN
DEVOLVERLO TODO!"
STORY_PROLOGUE,"Esta es la Banda del Calcetín: ladrones que solo roban lo que ya estaba robado.

El Barón Von Bostezo, director del Museo de Cosas Rarísimas, se ha ido llevando las cosas más raras del pueblo para exponerlas en vitrinas. Veinte en total.

Esta noche empieza la operación DEVOLVERLO TODO."
STORY_ENDING,"¡Lo habéis conseguido!

El abuelo Paco vuelve a masticar turrón, el pato canta a las siete en punto, el yeti tiene los pies calentitos y los lunes vuelven a durar lo normal.

Al Barón Von Bostezo solo le quedó mirar su vitrina vacía... y bostezar. Se quedó dormido de pie. Dicen que todavía ronca.

FIN (de momento)"
BRIEF_TAB_NEWS,LO NUEVO
BRIEF_TAB_PLAN,EL PLAN
BRIEF_NEXT_TAB,%s >
BRIEF_START,▶ EMPEZAR
BRIEF_NIGHT_OF,NOCHE %d DE %d
BRIEF_LEVEL,NIVEL %02d
BRIEF_NEWS_TITLE,ESTA NOCHE
BRIEF_NEWS_TEXT,Algo ha cambiado en el museo
BRIEF_TEAM_ONE_LOCK,Uno sujeta el cuadro de la alarma (naranja) mientras el otro abre la vitrina
BRIEF_TEAM_TWO_LOCKS,Uno sujeta el cuadro de la alarma (naranja) mientras los otros dos abren a la vez las dos cerraduras de la vitrina
BRIEF_TEAM_ALL_OUT,"Para ganar tenéis que salir todos · si pillan a uno, se acaba la noche"
BRIEF_PROPS,"Papeleras, bustos y paneles: tíralos con E (X en el mando) y los guardias irán a ver el ruido"
BRIEF_SECONDS,%s segundos
BRIEF_DECIMAL_POINT,","
PLAN_ENTRY,Entrada
PLAN_PIECE,Pieza
PLAN_EXIT,Salida
PLAN_DOOR_WEST,"Puerta del muro oeste, en %s"
PLAN_DOOR_EAST,"Puerta del muro este, en %s"
PLAN_DOOR_NORTH,"Puerta del muro norte, en %s"
PLAN_DOOR_SOUTH,"Puerta del muro sur, en %s"
LESSON_HEIST_TITLE,EL GOLPE
LESSON_HEIST_TEXT,"Quieto junto a la vitrina hasta que se abra, y sal por la flecha verde."
LESSON_HEIST2_TITLE,EL GOLPE EN EQUIPO
LESSON_HEIST2_TEXT,Uno sujeta la alarma naranja; el otro abre la vitrina. Salid los dos.
LESSON_HEIST3_TITLE,EL GOLPE EN EQUIPO
LESSON_HEIST3_TEXT,Uno sujeta la alarma; dos abren las dos cerraduras a la vez. Salid todos.
LESSON_GUARD_TITLE,EL GUARDIA
LESSON_GUARD_TEXT,"Si su linterna te pilla, va a por ti. Espera tras una pared a que pase."
LESSON_TORCH_TITLE,AGÁCHATE
LESSON_TORCH_TEXT,"De lejos, su linterna solo ve a quien va de pie. Cruza agachado (C)."
LESSON_NOISE_TITLE,EL RUIDO
LESSON_NOISE_TEXT,"Corriendo te oyen lejos; andando, poco; a gatas, nada."
LESSON_PROPS_TITLE,LA DISTRACCIÓN
LESSON_PROPS_TEXT,"Tira algo lejos (E, o X): el guardia irá a mirar y la pieza quedará libre."
LESSON_CASE_ALARM_TITLE,LA VITRINA CON ALARMA
LESSON_TWO_TITLE,DOS GUARDIAS
LESSON_TWO_TEXT,"Si uno te ve, grita y el otro viene corriendo."
LESSON_LIGHTS_TITLE,LAS LUCES
LESSON_LIGHTS_TEXT,"En alerta encienden la luz: entonces solo te tapan las vitrinas, a gatas."
LESSON_BIG_TITLE,UN MUSEO GRANDE
LESSON_BIG_TEXT,"Más salas, nada nuevo. Planea la ruta en el plano antes de entrar."
LESSON_FINALE_TITLE,LA ÚLTIMA NOCHE
LESSON_FINALE_TEXT,"Todos despiertos y sin calmarse. Todo lo que sabes, a la vez. Suerte."
LESSON_CASE_ALARM_TEXT,"La vitrina pita mientras la abres. Si viene alguien, suéltala y escóndete."
NIGHT_01_NAME,la dentadura del abuelo Paco
NIGHT_01_BLURB,"Postiza, de porcelana. Brilla en la oscuridad."
NIGHT_01_VERB,DESENROSCANDO EL TARRO
NIGHT_01_TALE,Anoche el Barón le quitó la dentadura al abuelo Paco mientras roncaba. Desde entonces el abuelo solo come sopa y a todo contesta «mmmfff». Y hoy el guardia tiene la noche libre.
NIGHT_02_NAME,el pato que canta ópera
NIGHT_02_BLURB,"Amarillo, de goma, con voz de tenor."
NIGHT_02_VERB,CALMANDO AL PATO
NIGHT_02_TALE,"Cada mañana este pato cantaba ópera a las siete en punto y despertaba a todo el pueblo. Sin él nadie se levanta y el panadero ya ha quemado cuarenta barras de pan. Cuidado: si lo aprietas, da el do de pecho."
NIGHT_03_NAME,la bufanda del caracol friolero
NIGHT_03_BLURB,Seis metros de lana. Para un cuello muy largo... y muy lento.
NIGHT_03_VERB,DESENROLLANDO LA BUFANDA
NIGHT_03_TALE,El caracol Anselmo tardó once años en tejerla. El Barón se la quitó en diez segundos. Ahora Anselmo no sale de su concha y dice que hace frío hasta en agosto.
NIGHT_04_NAME,el calcetín del yeti
NIGHT_04_BLURB,Talla 98. Huele un poquito.
NIGHT_04_VERB,DOBLANDO EL CALCETÍN
NIGHT_04_TALE,Un yeti muy educado se lo dejó en la lavandería y el Barón lo expone como «alfombra prehistórica». Ahora el yeti tiene frío en un pie y cada vez que estornuda provoca una avalancha.
NIGHT_05_NAME,el gnomo que baila claqué
NIGHT_05_BLURB,"De barro, con zapatos de metal. Nunca para quieto."
NIGHT_05_VERB,CALMANDO AL GNOMO
NIGHT_05_TALE,"Era el gnomo del jardín de la señora Remedios, y por las noches bailaba claqué para espantar a los topos. Sin él, los topos han montado una discoteca bajo las lechugas."
NIGHT_06_NAME,la tostada con la cara del Barón
NIGHT_06_BLURB,Con mantequilla. El Barón dice que es arte.
NIGHT_06_VERB,DESPEGANDO LA TOSTADA
NIGHT_06_TALE,"En esta tostada se ve clavadita la cara del Barón. Él dice que es una obra de arte. En realidad era el desayuno del perro Bartolo, que lleva tres días mirando la vitrina y llorando."
NIGHT_07_NAME,la bola de chicle del récord
NIGHT_07_BLURB,Masticada por todo el pueblo durante cien años.
NIGHT_07_VERB,DESPEGANDO EL CHICLE
NIGHT_07_TALE,"Cada vecino le añadía un chicle el día de su cumpleaños. El Barón dice que es una escultura moderna. Los vecinos dicen que es suya, y que aún sabe a fresa."
NIGHT_08_NAME,la corona de la Reina de los Pepinillos
